編號,用人機關類別 / 名稱,地點,職缺數
189,政府部門 / 嘉義市政府民政處,嘉義市政府,1 
190,政府部門 / 阿里山鄉公所,阿里山鄉公所,1 
191,公立學校 / 嘉義縣阿里山國民中小學,阿里山國民中小學,- 
192,非營利組織 / 嘉義縣阿里山鄉山美社區發展協會,山美部落教室,- 
193,文化健康站 / 嘉義縣阿里山鄉來吉社區發展協會,來吉文化健康站,1 
194,文化健康站 / 嘉義縣阿里山鄉特富野社區發展協會,特富野文化健康站,- 
195,文化健康站 / 嘉義縣阿里山鄉茶山社區發展協會,阿里山鄉茶山文化健康站,- 
196,非營利組織 / 嘉義縣阿里山族達邦庫巴文化發展協會,阿里山鄒族達邦庫巴文化發展協會,- 
197,文化健康站 / 嘉義縣番路鄉逐鹿社區發展協會,逐鹿社區發展協會,- 
198,文化健康站 / 大光文化健康站,大光文化健康站,- 
199,文化健康站 / 成功文化健康站,成功文化健康站,- 
200,原住民族機構 / 社團法人台南市玉山原鄉全人關懷協會,社團法人台南市玉山原鄉全人關懷協會,1 
201,公立學校 / 國立成功大學學生事務處原住民族學生資源中心,國立成功大學原住民族學生資源中心,1 
202,政府部門 / 臺南市政府(原住民文化會館),臺南市原住民文化會館,1 
203,政府部門 / 臺南市政府(原住民文物館),臺南市原住民文物館,1 
204,政府部門 / 臺南市政府原住民族事務委員會,臺南市政府原住民族事務委員會,1 
205,政府部門 / 臺南市政府鹽水區公所,臺南市政府鹽水區公所,- 
206,文化健康站 / 中華齡權益關懷協會,(1)ima文健站(2)大樹文健站,1 
207,非營利組織 / 中華齡權益關懷協會,中山銀髮樂活站,1 
208,原住民族機構 / 有限責任高雄市麗眾照顧服務勞動合作社,麗眾照顧服務勞動合作社,2 
209,原家中心 / 社團法人台灣光源全人關懷協會,高雄市都會南區原住民族家庭服務中心,1 
210,文化健康站 / 社團法人台灣光源全人關懷協會,瑪利鄧艾仁武文化健康站,- 
211,非營利組織 / 社團法人高雄市長青服務協會,社團法人高雄市長青服務協會,1 
212,非營利組織 / 社團法人高雄市茂林原住民婦幼發展協會,茂林原住民婦幼發展協會,2 
213,非營利組織 / 社團法人高雄市原住民婦女永續發展協會,原住民婦女永續發展協會,1 
214,文化健康站 / 社團法人高雄市基督教神國復興生命成長協會,神國文化健康站,1 
215,原住民族機構 / 保證責任高雄市恩典農特產品生產合作社,恩典農特產品生產合作社,2 
216,文化健康站 / 財團法人臺安基金會,建山部落文化健康站,- 
217,非營利組織 / 高雄市那瑪夏區公共事務發展協會,那瑪夏區公共事務發展協會,1 
218,政府部門 / 高雄市那瑪夏區公所,高雄市那瑪夏區大光巷230號,1 
219,政府部門 / 高雄市那瑪夏區衛生所,高雄市那瑪夏區衛生所,- 
220,政府部門 / 高雄市政府原住民事務委員會,高雄市鳳山區光復路二段132號2樓,3 
221,文化健康站 / 高雄市活水全人關懷協會,米平米尚文化健康站,- 
222,政府部門 / 高雄市茂林區公所,高雄市茂林區公所,2 
223,非營利組織 / 高雄市茂林區萬山社區發展協會,萬山社區發展協會,1 
224,政府部門 / 高雄市茂林區衛生所,高雄市政府茂林區衛生所,2 
225,文化健康站 / 高雄市原勢資源發展促進協會,梅山文化健康站,- 
226,原家中心 / 高雄市原勢資源發展促進協會,都會北區原住民族家庭服務中心,1 
227,政府部門 / 高雄市桃源區公所,高雄市桃源區公所,3 
228,文化健康站 / 高雄市桃源區高中社區發展協會,梅杏文化健康站,1 
229,文化健康站 / 高雄市桃源區復興社區發展協會,UAASIK文化健康站,1 
230,非營利組織 / 高雄市桃源區嘎啦鳳社區發展協會,嘎啦鳳社區發展協會,1 
231,政府部門 / 高雄市桃源區衛生所,高雄市政府桃源區衛生所,2 
232,文化健康站 / 高雄市集愛關懷協會,高雄市集愛文化健康站,1 
233,文化健康站 / 高雄市關懷婦幼協會,鳳山VUVU文健站,- 
234,公立學校 / 國立中山大學,國立中山大學原住民族學生資源中心,2 
235,公立學校 / 國立高雄大學,國立高雄大學,2 
236,非營利組織 / 新高雄紅十字會,(1)彌陀區(2)鳳山區,2 
237,文化健康站 / 瑪樂筱文化健康站,瑪樂筏文化健康站,1 
238,超額進用原住民族廠商 / 舞動陽光股份有限公司,高雄市苓雅運動中心,5 
239,文化健康站 / 寶山社區發展協會,寶山文化健康站,1 
240,非營利組織 / 台灣原住民族部落各項發展推動協會,台灣原住民族部落各項發展推動協會,- 
241,原住民族機構 / 台灣基督長老教會中村教會,台灣基督長老教會中村教會,- 
242,原住民族機構 / 台灣基督長老教會文樂教會,台灣基督長老教會文樂教會,- 
243,原住民族機構 / 有限責任屏東縣三地門鄉原住民文化觀光勞動合作社,有限責任屏東縣三地門鄉原住民文化觀光勞動合作社,1 
244,原住民族機構 / 有限責任屏東縣原住民有質感整合行銷勞動合作社,有限責任屏東縣原住民有質感整合行銷勞動合作社,1 
245,原住民族機構 / 有限責任屏東縣原住民瑪恰屋照顧服務勞動合作社,有限責任屏東縣原住民瑪恰屋照顧服務勞動合作社,1 
246,原住民族機構 / 有限責任屏東縣原鄉文化農產社區合作社,有限責任屏東縣原鄉文化農產社區合作社,1 
247,原住民族機構 / 那魯灣部落風味工坊,那魯灣部落風味工坊,1 
248,非營利組織 / 社團法人屏東縣美食交流協會,社團法人屏東縣美食交流協會,1 
249,原住民族機構 / 社團法人屏東縣原住民文教協會,社團法人屏東縣原住民文教協會,1 
